title ,text,subject,date
Senator Risa Hontiveros was involved in the 2014 Philippine Health Insurance Corp. (PhilHealth) scandal involving illegal bonuses paid out to officials and employees.,"In a Facebook video posted on September 14, which has 8,000 views, 457 reactions, and 113 shares from a page with 3,600 followers.The in-video caption read: “BAHO NI HONTIVEROS NAKALKAL NG TIKTOKER SINO NGAYON ANG NAGMAMALINIS?”

(Hontiveros’ dirty secret uncovered by a TikToker. Look who’s pretending to be clean!)

The video cited an ANC news clip as proof of Hontiveros’ supposed involvement in the 2014 scandal. ",News,"September 23, 2023"
Senator Robinhood Padilla was kicked out of office after questioning US presence in the West Philippine Sea.,"The video featured soundbites from a September 12 joint Senate panel hearing into issues in the West Philippine Sea, or parts of the South China Sea within Philippine territory.

The video’s thumbnail displayed the text “Robin sibak sa senado” (“Robin kicked out of Senate”), implying that the senator was removed from office over his comments during the Senate hearing.",News,"September 22, 2023"
Ombudsman claims there’s no law mandating SALN submission," The Manila lawmaker made the statement on September 20 during plenary debates at the House of Representatives for the Office of the Ombudsman’s 2024 budget.

Abante, sponsor of the Ombudsman’s budget, said at the 44:48 timestamp: “[The Ombudsman said] there is actually no law that we should submit the SALN.”",News,"September 21, 2023"
 The first-ever simultaneous trade fair for livestock and aquaculture in the Philippines was attended by President Ferdinand Marcos Jr. on July 5,"In the title of a video uploaded by the YouTube channel PweDelie TV which states: “GRABE NAGKAGULO NA PRES BBM BINUKSAN ANG KAUNA-UNAHANG LIVESTOCK AQUACULTURE SA PILIPINAS.” (Wow, Pres BBM opened the first livestock aquaculture in the Philippines). ",News,"July 7, 2023"
"Former President Ferdinand E. Marcos has trust deposits in ""nine World Banks and seven International Monetary Funds"" worth $300 duodecillion.","In a Youtube video shows a certificate of the alleged Marcos account, the title of the video indicates that President Ferdinand Marcos Jr. traveled. in Singapore recently to retrieve the family's hidden treasure. ",News,"September 21, 2023"
"Senators Raffy Tulfo and Jinggoy Estrada sentenced Pablo and France Ruiz, former employers of domestic helper Elvie Vergara, to death by hanging.","In the thumbnail of a YouTube video posted on September 17 by the channel AI TOO KAYE, which has 74,700 subscribers. As of writing, the video has 2,900 views, 266 likes, and 20 comments. 

The video’s thumbnail featured the text “hinatulan na ng bitay” (sentenced to death), implying that the Ruiz couple received the death sentence. ",News,"September 19, 2023"
"OMG, Marcos account in Australia, here it is! The leader of Australia has approached PBBM.","A gold account owned by the Marcos family in Australia has been unearthed, prompting the Australian prime minister to forge closer ties with President Ferdinand Marcos Jr.",News,"September 13, 2023"
Disgusting! The senator is a protector?! 16 schools infiltrated by terrorists!,Senator Risa Hontiveros is a protector of the CPP-NPA-NDF recruitment in schools.,News,"September 10, 2023"
"The shocking Marcos account in Indonesia, here it is! ASEAN leaders are now getting closer to PBBM.", The Marcos family has an account in Indonesia with 1.1 billion metric tons of gold bullion.,News,"September 8, 2023"
esident Ferdinand Marcos Jr. never promised to lower the price of rice to P20 per kilo.,,News,"September 4, 2023"
UP Diliman has closed down. PBBM and VP Sara’s order is intense. UP students have packed up their belongings,The University of the Philippines (UP) Diliman has been closed down following the order of President Ferdinand Marcos Jr. and Vice President Sara Duterte.,News,"September 1, 2023"
Iran and the Philippines are forming an alliance against China.,Iran’s ambassador visited our country to express its desire to form an alliance with the Philippines. Looks like Iran and the Philippines are cooking up something for China,News,"August 26, 2023"
"DepEd policy to revise anti-Marcos, Martial Law content in textbooks","Vice President and Department of Education (DepEd) Secretary Sara Duterte issued directives to revise information on the Martial Law period and remove anti-Marcos content from school textbooks. It seems that Vice President Sara Duterte-Carpio will now correct the history of lies regarding Martial Law. The revision of books will reportedly be promoted by the people so that history can be corrected and citizens will not be fooled, especially the youth.",News,"August 24, 2023"
"DSWD has ‘Pantawid Gutom Program, 7K monthly allowance for poorest of the poor.","Filipinos can sign up to avail of the Department of Social Welfare and Development (DSWD)’s P7,000 monthly allowance under its Pantawid Gutom Program.",News,"August 23, 2023"
"Just in, Congress cannot believe the order of President BBM. General Eleazar to replace Catapang, resigning from BuCor","Former Philippine National Police (PNP) chief Guillermo Eleazar has been appointed the new Bureau of Corrections (BuCor) chief, replacing Gregorio Catapang Jr. ",News,"August 23, 2023"
Germany will defend the Philippines against China amid the two Asian countries’ maritime dispute.,,News,"August 22, 2023"
Marcos expelling Chinese envoy to PH,"President Ferdinand Marcos Jr. expelled China’s top diplomat in Manila, Ambassador Huang Xilian, following the water cannon incident in the West Philippine Sea on August 5.",News,"August 21, 2023"
Deuterium solve PH debt in a year,"The Philippines has the largest deuterium deposits in the world, and mining the deuterium-rich Philippine Deep will pay off the country’s debts in a year.",News,"August 21, 2023"
PH under martial law after China water cannon incident,President Ferdinand “Bongbong” Marcos Jr. declared martial law after China blocked and fired water cannons at Philippine vessels heading to Ayungin Shoal last August 5.,News,"August 17, 2023"
"Ex-BSP gov Diokno, is highest paid official in 2022","Former Bangko Sentral ng Pilipinas (BSP) governor Benjamin Diokno, who now serves as finance secretary, is currently the highest-paid government official in the Philippines",News,"August 14, 2023"
US involved in water cannon incident in West Philippine Sea,The US deployed two F-35 fighter jets to the West Philippine Sea upon detecting the Chinese Coast Guard (CCG) vessel that fired water cannons at Philippine ships. ,News,"August 8, 2023"
This is big! The whole Philippines cried. President Marcos. Philippine debt is now erased. Media and ‘yellows’ speechless.,The creation of the Maharlika Investment Fund (MIF) has freed the Philippines from debt. ,News,"August 3, 2023"
