title,text,subject, date
"House to realign OVP, DepEd confidential funds to security forces","House to realign OVP, DepEd confidential funds to security forces",News,"September 27, 2023"
"DA, Marcos ‘do not support’ zero tariff plan on rice imports","The Department of Agriculture (DA) does not agree with the Department of Finance’s (DOF) proposal to reduce tariffs on rice imports down to 0%– and no less than President Ferdinand Marcos Jr., who is serving concurrently as the DA chief, shares this stance. 
“The department does not support the 0% tariff. And that is the position of the President,” said Isabela 1st District Representative Tonypet Albano, speaking on behalf of the DA during the House plenary debates on Monday, September 25. 
The zero tariff plan was proposed by the DOF to supposedly help reduce the price of rice. This proposal came after the much-contested executive order of the President which imposed a price cap on regular and well-milled rice affecting many rice retailers nationwide. 
Even the mere lowering of tariffs, as earlier suggested by National Economic and Development Authority (NEDA) Secretary Arsenio Balisacan, was thumbed down by the President.
Following a meeting with NEDA on Tuesday, September 26, Marcos said, “We decided with the agriculture and economic managers that…it was not the right time to lower tariff rates because the projection of world rice prices is that it will go down.”
According to the press release from the Presidential Communications Office, Balisacan, along with DA undersecretaries Leocadio Sebastian and Mercedita Sombilla, agreed during the meeting with the President about the inopportuneness of lowering tariffs.
During the House plenary debates, assistant minority leader Arlene Brosas was saying the zero tariff plan will have negative implications on farmers, who already experience delays in getting cash assistance from excess tariff revenues.",News,"September 26, 2023"
House OKs bill raising sanctions vs agricultural smuggling,"The Department of Agriculture (DA) does not agree with the Department of Finance’s (DOF) proposal to reduce tariffs on rice imports down to 0%– and no less than President Ferdinand Marcos Jr., who is serving concurrently as the DA chief, shares this stance. 
“The department does not support the 0% tariff. And that is the position of the President,” said Isabela 1st District Representative Tonypet Albano, speaking on behalf of the DA during the House plenary debates on Monday, September 25. 
The zero tariff plan was proposed by the DOF to supposedly help reduce the price of rice. This proposal came after the much-contested executive order of the President which imposed a price cap on regular and well-milled rice affecting many rice retailers nationwide. 
Even the mere lowering of tariffs, as earlier suggested by National Economic and Development Authority (NEDA) Secretary Arsenio Balisacan, was thumbed down by the President.
Following a meeting with NEDA on Tuesday, September 26, Marcos said, “We decided with the agriculture and economic managers that…it was not the right time to lower tariff rates because the projection of world rice prices is that it will go down.”
According to the press release from the Presidential Communications Office, Balisacan, along with DA undersecretaries Leocadio Sebastian and Mercedita Sombilla, agreed during the meeting with the President about the inopportuneness of lowering tariffs.
During the House plenary debates, assistant minority leader Arlene Brosas was saying the zero tariff plan will have negative implications on farmers, who already experience delays in getting cash assistance from excess tariff revenues.",News,"September 27, 2023"
Hontiveros not part of 2014 PhilHealth bonus scandal,"Hontiveros was not involved in the 2014 Philhealth bonus mess. Rappler and other fact-checking bodies have repeatedly debunked the claim, which resurfaced following the senator’s recent criticism of Vice President Sara Duterte’s controversial use of confidential funds.",News,"September 23, 2023"
Padilla not ‘kicked out’ of Senate,"Padilla was not removed from office. He is still a sitting senator, as seen in the Senate website’s roster of members of the 19th Congress.

The video’s thumbnail displayed the text “Robin sibak sa senado” (“Robin kicked out of Senate”), implying that the senator was removed from office over his comments during the Senate hearing did not contain proof Padilla is no longer in office, and there are no official sources corroborating the claim.",News,"September 22, 2023"
"Constitution, 2 other laws require gov’t officials to file SALN"," Government officials are required by law to submit their SALN, as stated under the 1987 Philippine Constitution and Republic Acts 6713 and 3019.Article XI, Section 17 of the 1987 Constitution states: “A public officer or employee shall, upon assumption of office and as often thereafter as may be required by law, submit a declaration under oath of his assets, liabilities, and net worth. In the case of the President, the Vice-President, the Members of the Cabinet, the Congress, the Supreme Court, the Constitutional Commissions and other constitutional offices, and officers of the armed forces with general or flag rank, the declaration shall be disclosed to the public in the manner provided by law.”

Section 8(a) of Republic Act 6713 or the Code of Conduct and Ethical Standards for Public Officials and Employees explicitly requires all public officials and employees – except laborers and those working in honorary and temporary capacities – to file their SALN under oath within the following timeframes:

within 30 days after assumption of office
on or before April 30 of every year thereafter
within 30 days after separation from the service
The filing of SALNs and a Disclosure of Business Interests and Financial Connections is also required for public officials’ spouses and unmarried children below 18 years old living in their households.

The law said that the public has the right to know government officials’ and employees’ assets, liabilities, net worth, and financial and business interests. Section 8(c) specifies conditions for public access to the documents, including allowing statements to be obtained or used for “news and communications media for dissemination to the general public.” (READ: Why the Philippines needs a freedom of information law)

Section 7 of Republic Act 3019 or the Anti-Graft and Corrupt Practices Act requires “every public officer” to prepare and file his or her SALN. Enacted in 1960, it was the law that required the Marcoses to file disclosure statements that were eventually used in the Philippine government’s case to recover the family’s ill-gotten wealth.",News,"September 21, 2023"
"Concurrent livestock, aquaculture expo held even before Marcos"," The Livestock Philippines website says the event was first conducted in 2011. The event is described as the “foremost international B2B event dedicated to the livestock, poultry, aquaculture, feeds, and meat sectors to help promote and contribute to the growth of the agriculture industry in the Philippines.”

The 2011 event was also covered in the Department of Agriculture Regional Field Office No. 7 website which shows a picture of then-agriculture secretary Proceso Alcala leading the ceremonial opening. ",News,"July 7, 2023"
"There is no $300 duodecillion 'Marcos account' at the World Bank, IMF",None of the $300 duodecillion worth of trust deposits have been deposited with the World Bank or the IMF. Rappler previously refuted the questionable details in the certificate shown in the video. ,News,"September 21, 2023"
"Former employers of domestic worker Elvie Vergara appear at Senate hearing, deny abuse","The death penalty was abolished in the Philippines in 2006, and the Senate’s motu proprio investigation into the Ruiz family’s alleged maltreatment of Vergara is still ongoing. ",News,"September 19, 2023"
No such thing as Marcos gold account in Australia,There is no evidence of the Marcoses owning a gold bullion account in Australia. Claims of the Marcos family’s wealth and alleged gold ownership have been debunked numerous times.,News,"September 13, 2023"
